channel_id,subscribers,avg_views_sub,avg_30days_view,week_upload
UC-KafR_WOgyxLK_2FBsP8-w,143000,1.745914085914086,240396,0.8
UC-KdT9RewTywvwPGBR9AJZQ,22700,1.3666226138032305,35454.3,0.741573
UC-Kk2qNHBsyyYy8kIIKMh8Q,116000,2.666660344827586,35322,0.27027
UC-KqLiSpbvD-q-ma0VtMXfw,43400,7.750950674176481,2921,0.348624
UC-Kql4eZIxhr-UQVqrYGQcg,10000,0.3320166666666666,281,0.141876
UC-KrmGgNTIbtOAC20efQbxQ,34800,0.7120248357963875,24370.6,3.3271
UC-Ku7s8yavLRK5ixh5YQkpA,27800,0.3337410071942446,5871.83,0.638889
UC-Kv89qRqugfIhnyoJIC_Zg,130000,0.29466703296703295,191,0.0375723
UC-Kvfzm_UvaWU4QS9tYfm-g,4840,5.979359504132231,28940.1,2.06452
UC-L-qDH7L_d6rLFkxwWmsXQ,7690,1.591791287386216,804.333,0.435644
UC-L1ASPpGeohPaxCtm0REbA,19500,2.1908915187376725,25852.1,0.97878
UC-L6sIbZaywhoxj7fVfs1hQ,63400,4.920900630914826,311985,2.60274
UC-LC4UlqVeJYEZQE4W4Gr5Q,9930,3.3413863712655254,68226.6,0.406504
UC-LIiWGJPdDs-JB4DlpYb4g,19500,1.969673504273504,4092,0.162437
UC-LqcRnBTXNENEjVkh7tsGg,4380,0.7896866635175563,827,0.125
UC-M-htTbVBeeMFhHZaVJEQw,5120,0.7628138950892857,3756.43,0.318919
UC-MAo6JvPw49wWJzTePGF5Q,4390,5.882885345482156,2119,0.270161
UC-MRBhuTep3dzojQd5RvoFA,73800,0.34902225074882326,7297,1.29218
UC-N4fGYpAmvfn2Y02WlAV9A,18100,6.706574585635359,230504,1.23016
UC-NsnGlVFqwRE69A4yBxLOQ,5110,1.8169602087410306,3247.5,0.918782
UC-O-tLPzFMYIIuY8uoWVzvg,71000,1.230203722334004,92427.2,1.0625
UC-O5NH69l-aCDCcC7J9Kb2A,40900,0.6672587925521911,26858.6,2.63366
UC-OBJnfv7MdLGiDtFzyomig,7170,2.307402241851335,7006.22,0.681159
UC-OIaaykQg3z_pn__Hpl5Kg,5640,1.3706501182033095,2827.67,1.49296
UC-OXJ3d4LToJEXLonxlgXmQ,26900,0.21251425030978935,4094.56,1.15035
UC-ObtfoMHi9tlGQ4aeqvb9w,10000,0.25946363636363634,949,0.544073
UC-Of-iROOQF8ThwG8N5MVlA,11900,0.2814201680672269,3846.77,0.0419048
UC-P6sp8n_cLYP4AeSkvhqUw,5250,2.213010989010989,4053,0.110236
UC-PT9XjK7pRXytWFfQV0EOg,9290,0.6696255574350299,611.667,0.313609
UC-PmC4FRssFs7NnFAzxK4vg,26100,1.405983674829252,29782.1,2.0303
UC-Pn1i_ot4qmG4l7wMZPvyw,207000,0.24927952690321506,72374.4,2.02083
UC-PqxS34Taa4CpoW6J3JTxg,18000,0.9649777777777777,8691,0.24537
UC-PtahIn0M44G18L6yUKiEQ,37500,1.6252871111111111,63243.3,0.246875
UC-PwUlozwXBBGxtzpPR51_g,10800,2.1494722222222222,8410,0.175
UC-Q6RmdCpSvtYV9fiVvK_eQ,4820,0.2930127445168939,1549.9,0.394068
UC-QCqcLb_iMrL9dW1SqQstA,39600,6.010386153198653,5338.5,0.196552
UC-QNLjGvjEdwqtl3VtcuqgQ,93800,0.5612288830572413,46147.9,1.41882
UC-Q_bOOxsn7hCd5BtxmSSpw,57800,1.042756055363322,90303.3,0.160494
UC-Q_jv2YDuzSY-zK2ZgRa4g,35300,0.7705892351274787,19633.6,0.77551
UC-Qp5_BCnL2ep8EPVxnBiNA,5160,0.2592764857881137,966.067,0.677249
UC-RhtzbePauTYa4drksJdRw,15600,0.46840384615384617,7871.26,2.56944
UC-RiHfvo2qB14PRtfd3dT1Q,11400,0.5862825166364186,6485.07,1.40385
UC-RkIbNe1celrwyzx1el0JA,34100,3.4241431085043987,165010,0.165179
UC-Rr7zYKnRqa_aEDn1KjVkw,14500,1.2845931034482758,7087.3,1.06557
UC-S8JFhLkQ5enhB70c2CYIw,276000,0.40040644409937887,124373,4.28691
UC-SdO_rxRkARysPrepg2Wew,12700,2.979482564679415,9259,0.13555
UC-Soj8cT2IuLefpPffFugVQ,12500,0.8860838095238095,9210.43,0.724696
UC-TJ-_qFN9-_aaljdEMnSFA,8200,0.5210428931875526,233,0.404706
UC-TTrLr-wGDzYAMWFgK1Icw,18800,2.16223587674248,105,0.470175
UC-TdsOSXDB5A-0uW9oDQQUg,6840,1.1202387914230019,556.667,0.159251
UC-TpIlGwLbmJuxWacteqZHQ,62500,0.3552154666666667,22201,4.848
UC-TpdzGorF3igglmjCWQhMA,7120,0.6214376915219613,1344.67,0.215584
UC-UABDsEA7XutcvzLO4NICA,74100,0.28843769680611786,4087,0.35468
UC-UXS_c6-Xyo3aXYk1Wv7JQ,185000,2.247369230769231,441184,0.911504
UC-VCQWWPtlHu-OdFTlarakg,15900,2.9764603773584906,29291,0.0906863
UC-VOS64-yFfGa3S7BZR2nOw,83200,1.8756504807692307,103718,1
UC-VWpTsHaT4eqqrUjLvR6Qg,31400,0.2565824044585987,9727.27,2.07627
UC-VnP-VdGUaIbssXoOhz5OQ,439000,0.3116610478359909,138037,3.66595
UC-VpSzzDWARAYF6gpChqukw,26800,4.059618869936034,100060,1
UC-VzbIx1yH55v-d_6LnhenA,18200,1.486660125588697,240.333,0.261084
UC-W6jtuUfdUFC85idF2ytmQ,9370,0.6695837780149413,435.333,0.201018
UC-WCs9ciwaRQxVyUPBRSqPA,122000,0.6192135050741608,70133.9,0.267423
UC-WdSRItjZuIu8yDkaNRYyQ,14400,0.5130856481481482,621.125,0.715686
UC-Wejk20QJnQIquTRrtjsTg,4450,0.23806546165119685,840.455,2.05
UC-X04XkQahowTEhDOn5RwoQ,9100,0.6785449033724895,6067.33,0.438735
UC-X26FzX-IDYX_-3_P7SfFA,8860,1.4758352144469526,7655.67,0.449153
UC-X6oxZ_VXBWFiNCB9DIvtQ,49400,1.5508542510121457,46840,0.878505
UC-XMhdUiNm9rDH6xH50ItUQ,17500,0.4198571428571429,7347.5,0.835267
UC-XQ_DhBqUDYxvetENI6Eug,4680,0.47104072398190044,1429.56,0.173077
UC-XZTtQy_wPhiGPBUSnCEUQ,20100,2.759709146574818,186,1.26087
UC-XjcvsToNewKGI_N_Bmwfw,85600,0.34369158878504674,5065,0.615385
UC-Y4-POit5VrKvRq8iNsnLw,4500,1.5217185185185185,7860.4,1.14493
UC-Y8YtwzQcJhsDc2ES_8H2A,20800,0.3879182692307692,2380.67,0.668571
UC-YGAXCJEwNcTiEQahOQjVg,16600,0.358498609823911,1552,0.518717
UC-YRx5jfreS9abTGxfmV4Hg,1480000,1.978034831081081,1523350,0.21118
UC-Y_sPSA19vKqGrskcrZ3_A,25400,0.3993234179060951,9161.43,0.447312
UC-YfMNL-6OuqxlQfMXuHqtw,22900,4.446724890829694,25133.4,3.325
UC-ZFVikwyHTfMbf7rBQ4HxA,6780,0.28657817109144545,1776.03,1.56145
UC-ZGIO481olUgjB6UgU1EBg,58600,0.9608503981797497,34494.2,0.403727
UC-ZIjvqraPjOj1h5ZSq0L5g,4480,3.6709077380952384,438.333,0.657303
UC-ZK5hdTbwp9ZmbFP_W3sLQ,16200,0.5706128747795414,8799.2,0.496
UC-ZQIotOP5aEAPYa4nK0jdA,25600,1.9969921875,45629.3,1.07303
UC-Za12q87wv8Eg7iiyfER0A,240000,0.23051622023809523,38908.5,0.885714
UC-Zedn7a_RJyb5hUQ-aGZog,866000,0.213662857370391,182032,26.4018
UC-_-SGJ5Zkq-MtppuOJoNvw,865000,1.7555167079548584,156446,0.9375
UC-_4Zo69CRpMiFzXv7mn9pw,14500,0.5010344827586207,48117.7,0.66954
UC-_4xMBngRbDm-0_wEcHpoA,6450,0.25228384019081695,4716.67,0.293173
UC-_A_v-Pt-A1LtPuTzKrFEA,7940,1.5771119937996512,1466.5,0.397351
UC-_RH01F4jcR1m52g1prGpw,11200,0.29544084821428573,2984.83,0.0984127
UC-_XNR4vMF_he7IRH3zlp5A,8720,0.5037971457696229,2178.4,0.28066
UC-_kdth41IZ2-5e1qC5y-6w,24100,0.2098812419516383,4955.9,3.07692
UC-a0o688X3YTl7abhj1XMHw,5810,3.371649864765183,15981.3,1.05128
UC-a5T3OB7Ox7PPR0LENplWg,27300,0.8992786700479007,9721.5,0.376238
UC-aPy1jjGPwMyWwBC98kX1Q,4420,1.3153092006033182,588.1,0.312849
UC-aumpPA8SpIpDOWWgsUvuQ,11600,0.4893926332288401,340,0.531915
UC-awIhPPVgiKxWMPEvNCbSw,18100,0.2713496448303078,4604.47,2.83626
